iter	Passed	Remaining
619	5957	3651
620	5967	3641
621	5979	3633
622	5992	3626
623	6002	3616
624	6009	3605
625	6019	3596
626	6029	3587
627	6037	3576
628	6047	3567
629	6057	3557
630	6067	3547
631	6076	3538
632	6085	3527
633	6093	3517
634	6101	3507
635	6111	3497
636	6122	3488
637	6130	3478
638	6141	3469
639	6150	3459
640	6158	3449
641	6167	3439
642	6174	3428
643	6183	3418
644	6193	3408
645	6201	3398
646	6209	3387
647	6215	3376
648	6223	3365
649	6233	3356
650	6244	3347
651	6252	3337
652	6264	3328
653	6273	3318
654	6280	3308
655	6289	3298
656	6297	3287
657	6307	3278
658	6316	3268
659	6324	3258
660	6330	3246
661	6336	3235
662	6345	3225
663	6353	3215
664	6363	3205
665	6371	3195
666	6380	3185
667	6390	3175
668	6397	3165
669	6404	3154
670	6415	3145
671	6425	3136
672	6435	3126
673	6445	3117
674	6455	3107
675	6464	3098
676	6473	3088
677	6483	3078
678	6492	3069
679	6501	3059
680	6510	3049
681	6518	3039
682	6526	3029
683	6538	3020
684	6547	3010
685	6557	3001
686	6566	2991
687	6574	2981
688	6583	2971
689	6591	2961
690	6602	2952
691	6611	2942
692	6619	2932
693	6627	2922
694	6635	2912
695	6645	2902
696	6655	2893
697	6665	2883
698	6676	2875
699	6687	2865
700	6696	2856
701	6706	2846
702	6716	2837
703	6725	2827
704	6734	2817
705	6744	2808
706	6754	2799
707	6763	2789
708	6772	2779
709	6784	2770
710	6793	2761
711	6804	2752
712	6812	2742
713	6821	2732
714	6829	2722
715	6841	2713
716	6851	2704
717	6858	2693
718	6868	2684
719	6878	2674
720	6888	2665
721	6897	2655
722	6907	2646
723	6916	2636
724	6924	2626
725	6936	2617
726	6943	2607
727	6950	2597
728	6958	2586
729	6967	2577
730	6977	2567
731	6987	2558
732	6997	2548
733	7005	2538
734	7013	2528
735	7022	2519
736	7034	2510
737	7043	2500
738	7055	2491
739	7066	2482
740	7075	2473
741	7085	2463
742	7093	2453
743	7101	2443
744	7110	2433
745	7120	2424
746	7130	2415
747	7140	2405
748	7147	2395
749	7155	2385
750	7164	2375
751	7175	2366
752	7183	2356
753	7193	2346
754	7201	2336
755	7211	2327
756	7222	2318
757	7233	2309
758	7241	2299
759	7248	2289
760	7257	2279
761	7270	2270
762	7279	2261
763	7288	2251
764	7296	2241
765	7306	2232
766	7319	2223
767	7328	2213
768	7338	2204
769	7348	2194
770	7356	2185
771	7367	2175
772	7375	2165
773	7384	2156
774	7392	2146
775	7402	2136
776	7409	2126
777	7418	2116
778	7426	2106
779	7437	2097
780	7444	2087
781	7450	2077
782	7459	2067
783	7468	2057
784	7479	2048
785	7489	2038
786	7497	2029
787	7505	2019
788	7516	2010
789	7528	2001
790	7540	1992
791	7549	1982
792	7558	1972
793	7565	1962
794	7572	1952
795	7581	1943
796	7588	1932
797	7597	1923
798	7606	1913
799	7615	1903
800	7623	1893
801	7631	1884
802	7638	1874
803	7645	1863
804	7657	1854
805	7665	1844
806	7675	1835
807	7684	1826
808	7692	1816
809	7700	1806
810	7707	1796
811	7714	1786
812	7724	1776
813	7735	1767
814	7744	1757
815	7753	1748
816	7762	1738
817	7770	1728
818	7778	1718
819	7786	1709
820	7794	1699
821	7800	1689
822	7807	1679
823	7816	1669
824	7827	1660
825	7835	1650
826	7845	1641
827	7857	1632
828	7866	1622
829	7875	1613
830	7885	1603
831	7895	1594
832	7902	1584
833	7911	1574
834	7922	1565
835	7932	1556
836	7939	1546
837	7948	1536
838	7959	1527
839	7969	1517
840	7976	1508
841	7986	1498
842	7994	1488
843	8002	1479
844	8011	1469
845	8020	1459
846	8031	1450
847	8039	1441
848	8047	1431
849	8054	1421
850	8063	1411
851	8070	1401
852	8078	1392
853	8088	1382
854	8098	1373
855	8106	1363
856	8117	1354
857	8125	1344
858	8134	1335
859	8145	1326
860	8154	1316
861	8162	1306
862	8173	1297
863	8182	1287
864	8190	1278
865	8201	1269
866	8210	1259
867	8222	1250
868	8232	1241
869	8240	1231
870	8250	1221
871	8259	1212
872	8266	1202
873	8276	1193
874	8289	1184
875	8302	1175
876	8309	1165
877	8318	1155
878	8327	1146
879	8340	1137
880	8349	1127
881	8359	1118
882	8368	1108
883	8374	1098
884	8385	1089
885	8393	1080
886	8405	1070
887	8415	1061
888	8423	1051
889	8432	1042
890	8439	1032
891	8451	1023
892	8462	1013
893	8474	1004
894	8484	995
895	8492	985
896	8498	975
897	8504	966
898	8515	956
899	8525	947
900	8536	937
901	8544	928
902	8554	918
903	8564	909
904	8572	899
905	8580	890
906	8589	880
907	8600	871
908	8610	862
909	8618	852
910	8628	842
911	8637	833
912	8650	824
913	8658	814
914	8667	805
915	8679	795
916	8687	786
917	8697	776
918	8706	767
919	8717	758
920	8728	748
921	8739	739
922	8747	729
923	8753	720
924	8761	710
925	8771	700
926	8781	691
927	8792	682
928	8803	672
929	8811	663
930	8823	653
931	8830	644
932	8841	634
933	8850	625
934	8858	615
935	8867	606
936	8874	596
937	8884	587
938	8896	577
939	8905	568
940	8915	559
941	8927	549
942	8938	540
943	8947	530
944	8958	521
945	8966	511
946	8977	502
947	8986	492
948	8994	483
949	9004	473
950	9013	464
951	9023	454
952	9033	445
953	9041	435
954	9050	426
955	9059	416
956	9068	407
957	9074	397
958	9083	388
959	9092	378
960	9101	369
961	9112	359
962	9120	350
963	9128	340
964	9137	331
965	9144	321
966	9149	312
967	9156	302
968	9163	293
969	9172	283
970	9182	274
971	9194	264
972	9203	255
973	9213	245
974	9224	236
975	9233	227
976	9244	217
977	9253	208
978	9264	198
979	9273	189
980	9285	179
981	9295	170
982	9305	160
983	9314	151
984	9327	142
985	9336	132
986	9344	123
987	9359	113
988	9369	104
989	9380	94
990	9389	85
991	9399	75
992	9410	66
993	9418	56
994	9428	47
995	9438	37
996	9447	28
997	9459	18
998	9466	9
999	9475	0
